year,month,day,MAX_land,MAX_all
2019,01,01,61870,62600
2019,01,02,79840,80600
2019,01,03,78210,79000
2019,01,04,76820,77600
2019,01,05,69310,70000
2019,01,06,63670,64400
2019,01,07,79230,80000
2019,01,08,81030,81800
2019,01,09,81810,82600
2019,01,10,80110,80900
2019,01,11,79720,80500
2019,01,12,68820,69500
2019,01,13,64160,64900
2019,01,14,79660,80400
2019,01,15,79940,80700
2019,01,16,81580,82400
2019,01,17,78410,79200
2019,01,18,77820,78600
2019,01,19,66590,67300
2019,01,20,63730,64500
2019,01,21,78530,79300
2019,01,22,77970,78700
2019,01,23,77780,78500
2019,01,24,78440,79200
2019,01,25,78640,79400
2019,01,26,67500,68300
2019,01,27,62490,63300
2019,01,28,77850,78600
2019,01,29,76760,77500
2019,01,30,75690,76400
2019,01,31,79390,80100
2019,02,01,75980,76700
2019,02,02,62850,63600
2019,02,03,59050,59800
2019,02,04,55640,56300
2019,02,05,53570,54300
2019,02,06,56740,57500
2019,02,07,73580,74300
2019,02,08,77380,78200
2019,02,09,67630,68400
2019,02,10,63170,64000
2019,02,11,77650,78400
2019,02,12,77410,78200
2019,02,13,77410,78200
2019,02,14,77160,77900
2019,02,15,77490,78200
2019,02,16,67560,68300
2019,02,17,62890,63700
2019,02,18,77220,78000
2019,02,19,77580,78300
2019,02,20,76730,77500
2019,02,21,76940,77700
2019,02,22,76500,77260
2019,02,23,63320,64000
2019,02,24,59870,60600
2019,02,25,74650,75400
2019,02,26,73970,74700
2019,02,27,72480,73200
2019,02,28,71730,72400
2019,03,01,64530,65300
2019,03,02,57590,58300
2019,03,03,58770,59500
2019,03,04,72320,73000
2019,03,05,69890,70600
2019,03,06,70290,71000
2019,03,07,70300,71000
2019,03,08,69980,70700
2019,03,09,59310,60000
2019,03,10,56370,57100
2019,03,11,69950,70700
2019,03,12,70120,70800
2019,03,13,70580,71300
2019,03,14,69840,70500
2019,03,15,69870,70500
2019,03,16,60060,60800
2019,03,17,56070,56800
2019,03,18,68940,69600
2019,03,19,67960,68600
2019,03,20,67470,68100
2019,03,21,68600,69200
2019,03,22,70240,70900
2019,03,23,60150,60900
2019,03,24,56220,57000
2019,03,25,68990,69600
2019,03,26,66780,67400
2019,03,27,67100,67700
2019,03,28,68110,68700
2019,03,29,67700,68300
2019,03,30,57300,58000
2019,03,31,54130,54900
2019,04,01,67140,67800
2019,04,02,66150,66800
2019,04,03,65060,65700
2019,04,04,64550,65200
2019,04,05,64470,65100
2019,04,06,54980,55700
2019,04,07,52610,53300
2019,04,08,65700,66300
2019,04,09,66610,67200
2019,04,10,67710,68300
2019,04,11,66590,67200
2019,04,12,66570,67200
2019,04,13,56120,56800
2019,04,14,53900,54600
2019,04,15,65680,66400
2019,04,16,63120,63700
2019,04,17,62130,62700
2019,04,18,63340,63900
2019,04,19,63330,64000
2019,04,20,53350,54000
2019,04,21,50130,50800
2019,04,22,61430,62100
2019,04,23,61950,62500
2019,04,24,62860,63400
2019,04,25,64810,65400
2019,04,26,65570,66200
2019,04,27,55490,56100
2019,04,28,52530,53200
2019,04,29,64770,65400
2019,04,30,62400,63000
2019,05,01,57170,57800
2019,05,02,65480,66100
2019,05,03,63900,64500
2019,05,04,52170,52800
2019,05,05,53260,53900
2019,05,06,56930,57600
2019,05,07,60590,61200
2019,05,08,61120,61700
2019,05,09,61030,61600
2019,05,10,61820,62400
2019,05,11,54390,55000
2019,05,12,50990,51600
2019,05,13,64400,65000
2019,05,14,64430,65000
2019,05,15,64430,65000
2019,05,16,65020,65600
2019,05,17,65910,66500
2019,05,18,57160,57800
2019,05,19,53360,54000
2019,05,20,66510,67100
2019,05,21,66190,66800
2019,05,22,63890,64500
2019,05,23,64410,65000
2019,05,24,67010,67600
2019,05,25,58660,59300
2019,05,26,55560,56200
2019,05,27,68630,69200
2019,05,28,66480,67100
2019,05,29,65180,65800
2019,05,30,65200,65800
2019,05,31,64200,64800
2019,06,01,55440,56000
2019,06,02,53850,54400
2019,06,03,68310,68900
2019,06,04,65670,66300
2019,06,05,67270,67900
2019,06,06,61010,61600
2019,06,07,68200,68800
2019,06,08,56800,57400
2019,06,09,54020,54600
2019,06,10,66210,66800
2019,06,11,64730,65300
2019,06,12,64720,65300
2019,06,13,65400,66000
2019,06,14,66700,67300
2019,06,15,57820,58400
2019,06,16,54120,54700
2019,06,17,68290,68900
2019,06,18,67070,67700
2019,06,19,67050,67700
2019,06,20,67840,68500
2019,06,21,68160,68800
2019,06,22,56980,57600
2019,06,23,53390,54000
2019,06,24,66860,67500
2019,06,25,67430,68100
2019,06,26,69250,69900
2019,06,27,71360,72000
2019,06,28,71440,72100
2019,06,29,59850,60500
2019,06,30,57350,58000
2019,07,01,71080,71700
2019,07,02,69530,70200
2019,07,03,69520,70200
2019,07,04,70310,71000
2019,07,05,70820,71500
2019,07,06,61560,62200
2019,07,07,58740,59400
2019,07,08,73010,73700
2019,07,09,72080,72700
2019,07,10,71460,72100
2019,07,11,71750,72400
2019,07,12,70660,71300
2019,07,13,61090,61700
2019,07,14,57470,58100
2019,07,15,71620,72300
2019,07,16,71020,71700
2019,07,17,71710,72400
2019,07,18,73330,74000
2019,07,19,74780,75500
2019,07,20,65190,65900
2019,07,21,61470,62200
2019,07,22,76840,77600
2019,07,23,77230,78000
2019,07,24,78530,79300
2019,07,25,79900,80700
2019,07,26,78800,79600
2019,07,27,65950,66700
2019,07,28,62700,63500
2019,07,29,77940,78800
2019,07,30,75140,76000
2019,07,31,74660,75500
2019,08,01,74750,75600
2019,08,02,70070,70900
2019,08,03,65880,66700
2019,08,04,66270,67100
2019,08,05,77230,78100
2019,08,06,78050,78900
2019,08,07,76820,77700
2019,08,08,77230,78100
2019,08,09,77910,78800
2019,08,10,68080,68900
2019,08,11,64290,65100
2019,08,12,79860,80700
2019,08,13,81110,82000
2019,08,14,82330,83200
2019,08,15,78130,79000
2019,08,16,83440,84300
2019,08,17,69860,70700
2019,08,18,65000,65800
2019,08,19,79650,80500
2019,08,20,80760,81600
2019,08,21,81080,81900
2019,08,22,79980,80800
2019,08,23,77280,78100
2019,08,24,63770,64500
2019,08,25,60690,61400
2019,08,26,75610,76400
2019,08,27,76020,76800
2019,08,28,76030,76800
2019,08,29,74960,75700
2019,08,30,72730,73500
2019,08,31,61230,61900
2019,09,01,58510,59200
2019,09,02,72180,72900
2019,09,03,71780,72500
2019,09,04,73170,73900
2019,09,05,74260,75000
2019,09,06,75370,76100
2019,09,07,66870,67600
2019,09,08,62180,62900
2019,09,09,75560,76300
2019,09,10,77350,78100
2019,09,11,68960,69600
2019,09,12,53280,53800
2019,09,13,49220,49800
2019,09,14,52700,53300
2019,09,15,55630,56300
2019,09,16,68160,68900
2019,09,17,70260,71000
2019,09,18,71950,72700
2019,09,19,67590,68300
2019,09,20,67230,67900
2019,09,21,59200,59800
2019,09,22,55460,56100
2019,09,23,67540,68200
2019,09,24,65140,65800
2019,09,25,64340,65000
2019,09,26,66440,67100
2019,09,27,68480,69100
2019,09,28,59690,60300
2019,09,29,55670,56300
2019,09,30,67960,68600
2019,10,01,68540,69200
2019,10,02,69710,70400
2019,10,03,64730,65400
2019,10,04,68710,69400
2019,10,05,57900,58600
2019,10,06,51320,52000
2019,10,07,70720,71400
2019,10,08,69450,70100
2019,10,09,59760,60400
2019,10,10,66060,66700
2019,10,11,62760,63400
2019,10,12,57580,58200
2019,10,13,54790,55400
2019,10,14,63370,64000
2019,10,15,62720,63300
2019,10,16,62910,63500
2019,10,17,63160,63800
2019,10,18,62950,63600
2019,10,19,53880,54500
2019,10,20,50880,51500
2019,10,21,62950,63600
2019,10,22,62350,63000
2019,10,23,63260,63900
2019,10,24,63660,64300
2019,10,25,63670,64300
2019,10,26,55800,56400
2019,10,27,52700,53300
2019,10,28,64550,65200
2019,10,29,62980,63600
2019,10,30,63070,63700
2019,10,31,63350,64000
2019,11,01,62760,63400
2019,11,02,53480,54100
2019,11,03,52710,53300
2019,11,04,63660,64300
2019,11,05,62810,63400
2019,11,06,63500,64100
2019,11,07,63910,64500
2019,11,08,64890,65500
2019,11,09,54550,55200
2019,11,10,51870,52500
2019,11,11,63870,64500
2019,11,12,63500,64100
2019,11,13,64710,65300
2019,11,14,66800,67400
2019,11,15,66560,67200
2019,11,16,56960,57500
2019,11,17,53600,54200
2019,11,18,68200,68800
2019,11,19,69000,69600
2019,11,20,70180,70800
2019,11,21,70460,71100
2019,11,22,67500,68100
2019,11,23,59260,59900
2019,11,24,55290,56000
2019,11,25,67680,68400
2019,11,26,69700,70300
2019,11,27,70390,71000
2019,11,28,70170,70800
2019,11,29,70380,71000
2019,11,30,60100,60700
2019,12,01,57360,58000
2019,12,02,71040,71700
2019,12,03,71040,71700
2019,12,04,72650,73300
2019,12,05,74820,75500
2019,12,06,75270,76000
2019,12,07,64380,65100
2019,12,08,60560,61300
2019,12,09,74660,75400
2019,12,10,74300,75000
2019,12,11,75710,76400
2019,12,12,77410,78100
2019,12,13,75910,76600
2019,12,14,63640,64300
2019,12,15,59180,59900
2019,12,16,76130,76800
2019,12,17,73580,74200
2019,12,18,75740,76400
2019,12,19,75510,76200
2019,12,20,75890,76600
2019,12,21,63730,64400
2019,12,22,59480,60200
2019,12,23,73910,74600
2019,12,24,74180,74900
2019,12,25,62670,63400
2019,12,26,76140,76800
2019,12,27,77160,77900
2019,12,28,62600,63300
2019,12,29,60970,61700
2019,12,30,75040,75700
2019,12,31,72070,72800
